review,polarity,division
alexa dumb say something say something else play arjit singh songs will start songits irritatingi not enjoy please find solution intelligent,0.135,positive
alexa echo dot super smart sophisticate technologyif fire tv best control tv voice recognize voice perfetly also play many game best kid also buy smart light control voice almost every question ask also ask say story play music much,0.5327,positive
alexa echo dot wipro smart bulb good combo offer get every one experience next generation intelligence alexa smart way control musiq sound light kid love ask many question alexa give answer,0.4198,positive
alexa echo not respond voice commandtill setup everything okbut not respond voice command,0,neutral
alexa echo value money lo use ask sing nursery rhyme stories hit,0,neutral
alexa eco worth anyones buy try experience life,0.3,positive
alexa flagship product amazon good product provide use fully,0.7,positive
alexa generation echo amaze great soundjust songs vocabulary require but good,0.65,positive
alexa generation worth buyingexcellenteasy accesssound goodkids will enjoy talk alexa,0.35,positive
alexa go eat brain chatty mode nonworking brief mode tell play song get enjoy state song title singer name source amazon music aaple musicor jio saavn pretty annoy if ask refund initiate,-0.0375,negative
alexa good bollywood hollywood songs come tollywood regions languages telugu tamil alexa not respond properly infact unable recognize telugu musicalbams need improve recognize regional languages,0.0958,positive
alexa good but not work hindi language but think dat not latest version alexa include hindi language kindly help kindly exchange if possible,0.48,positive
alexa good but sometime not command correctly,0.7,positive
alexa good entertain voice recognition awesome totally worth money,0.6775,positive
alexa good friend integration smooth good sound quality excellent one room enough easily installable,0.5167,positive
alexa good listen command things perfectly kid keep busy give star deduct star one con feltatleast give build nasty back work atleast hrs continuous power supply need,0.1383,positive
alexa good listen news music sound also good recive sound far also good must buy things,0.605,positive
alexa good product home sound quality superb,0.7,positive
alexa good quailty,0.7,positive
alexa good sound,0.655,positive
alexa good sound quality good function good boys good material user thank amazon thank,0.64,positive
alexa good sound quality nice voice recognition,0.5667,positive
alexa good thing will help us study good alexa will control full home want say alexa,0.7233,positive
alexa good understand indian accent cover hindienglish language job voice assistant term manage devices around try control denon avr alexa basic task pay song change volume but cant change music mode etc similarly control airtel internet tv set top box settop box swith not swith offso get work do upto certain extend but not completelythe biggest problem see echo devices not get information web though connect internet always every thing need skillideally go web find basic answer instead say dont knowif anyone want use play music one best smart speaker available market give price,0.3229,positive
alexa good understand query well conversation mode need train alexayou change call sign alexa but options available buy rs go buy another,0.3667,positive
alexa good value money fun use use india make sure u select english india language relate conversations media content,0.375,positive
alexa great bedroom live room alexa work like magic also get light wifi enable wipro along alexa package work wonder usit understand hindi english also talk us alone lonelyyou also connect alexa mobile use bluetooth speaker true fact version plug time but apart great love true fan alexa,0.4875,positive
alexa grow child would like hold hand cuteq like alexaans sound quality glow lightbonus tip buy offer will beneficial,0.375,positive
alexa helpful advance but effect enjoy if devices connect songs not find library need update frequently,0.375,positive
alexa helpful play handsfree music joke remainder news update facts alexa skills add value product,0.35,positive
alexa helpful product switch off power search voice anything play music,0,neutral
alexa horribly wrong dumbi make mistake not buy google mini speakeralexa no answersit stupid speakeri know u need enable skills thathowever still bad assistantfully disssatisfiedaudio quality good but one buy simple bluetooth speaker cost rather mess ur mind incapable ai speaker can not answer questionsused fireststick limit usage limit appswill still need remote anyway not much useful firesticki strongly suggest please buy google home mini insteadaudio may bite less but google assistant amaze,-0.0797,negative
alexa integration awesome configure home appliances itworth buy awesome sound quality,0.8,positive
alexa integration collect days but amount not credit amazon wallet please check reply,0,neutral
alexa integration good sound quality bluetooth connectivity also good,0.6,positive
alexa integration great voice recognition perfect sound quality awesome hall but best felt small size room must buy starter amazon smart speaker,0.5949,positive
alexa integration greatspeaker sound quality great bluetooth connectivity also good,0.6333,positive
alexa integration greatvoice recognition bad choice respond late not much farthersound quality seem good good pitch stabilizationwouldve great if wireless,0.1833,positive
alexa integration still pain sometimes doesnt hear us speak need talk loud phone integration still bad take time mins,-0.405,negative
alexa integration voice recognition sound quality,0.4,positive
alexa integration weak n also sound quality weak,-0.1542,negative
alexa integration would one device bluetooth,0.25,positive
alexa integrationsound quality bluetooth connectivity besteven helpful sometimes,0.2,positive
alexa isnt connect bluetooth wifi connect but no internet available display please correct,0.4,positive
alexa isnt smart expect,0.2143,positive
alexa itergrationvoice recognition sound quality good also look pretty,0.52,positive
alexa learn day day behave like grow baby,0,neutral
alexa love,0.6,positive
alexa love u,0.5,positive
alexa love u,0.5,positive
alexa much rat want star,0.2,positive
alexa need real upgrade general echo dot gen poor voice recognition literally yell alexa listen crank volume change track anything whatsoever quite expectations since proudly fire stick even buy speaker buy mainly purpose favorite music could come handy still prefer play music tv speaker mean buy speaker if cant even play music without fuss overall big no highly disappoint,0.1508,positive
alexa new friend lockdown hear good music prime account,0.4182,positive
alexa no loyalty ever ask respond no voice recognition sound quality excellent mainly depend hungama songs,0.5222,positive
alexa not able recognise voice time sound quality also puncture not decent experience,0.0222,positive
alexa not able understand hindii try settings but product not instal hindi language software not communicate hindi,-0.25,negative
alexa not able understand language easily bluetooth connectivity poor,-0.1122,negative
alexa not good,-0.35,negative
alexa not great voice interactive service like google improve good chatbot love volume kid njoying,0.4688,positive
alexa not helpful various command developers need upgrade skills command recognition,0,neutral
alexa not know everythingas say information topic coronait say sorry dont know thisjust link alexa google youtube,-0.5,negative
alexa not recognise voice respond instantly song go alexa deliver music newsseems problem device,0,neutral
alexa not respondingblue light show aroundcant even reset,0.4,positive
alexa not work months purchase stop work,0,neutral
alexa not work respond command internet connection good stable suddenly happen days usage dont know please somebody help,0.35,positive
alexa not work tv,0,neutral
alexa not workingno lead light workingalexa totaly stop need repair iti want service centre number,0.4,positive
alexa ok nice speaker n mic but not recommend itamazon executive contact help step connect wipro garnet appreciate take concern customer use alexa thank amazon,0.4333,positive
alexa one best product amazonyou try iti feel utmost satisfiction product,1,positive
alexa one step get information whatever want voice recognition also good go sometimes confuse problem not wireless continously plug corner plus feature need upgradation eg maths calculation math calculations alexa couldnt overall satisfy product,0.12,positive
alexa opbut if want alexa buy black colouras colour tatti,-0.0972,negative
alexa overall good smart speakerbut time difficulty process voice commandssound output good,0.4561,positive
alexa pair easily act nice bluetooth speaker sound awesome specially bass owe gen echo amd take word gen echo n time better last sound quality worthy successorspecial thank amazon quick replacement echo deviceonly thorn foot software sometimes fail search desire music,0.2958,positive
alexa play amazon prime songs not outside songs waste money,-0.0667,negative
alexa play tollywood latest songsalexa turn light etc much morewonderful ai,0.3667,positive
alexa poor quality adapter jaise tape lagi hui ha poor quality alexa speaker jaise old model de diya ha,-0.2733,negative
alexa pretty much job sound quality good microphone good not best job but lacs lot knowledge depend upon wikipedia if not mention wikipedia wont answer if u ask u always give std reply bite irritatingit time blink orange color indicate wait command word arent use kind spy,0.5389,positive
alexa problem time doesnt respond instructionson initial day set keep make mistake not recognise voice didnt expect alexa,0,neutral
alexa product super amaze granny surprise experience unbelievable way understand alexa adapt,0.1958,positive
alexa program search quality not fast say not clever perticular old singers gazals singers devotional songs religions,-0.0137,negative
alexa purchase oct today not connect not work within one year hope will get replace amazon,0,neutral
alexa quit irritate understand comands but ok robot hope new update will make accurate buy sale value money product get alexa wipro bulb happy service also,0.2436,positive
alexa quite comfortable,0.4,positive
alexa really dosent hear clearly understand exactly give reply misinterpretting things,0.2875,positive
alexa really smart,0.2143,positive
alexa recognition worstalex doesnt recognize play wrong,-0.5,negative
alexa skills limit many available us not available india,0.1571,positive
alexa smart,0.2786,positive
alexa speaker good but alexa android application not good alexa listen skill also not accurate,0.25,positive
alexa still grow become better understand could get better if alexa cant understand device talk would better if stop say mean tv,0.2969,positive
alexa stop work within one month replace no call,0,neutral
alexa super,0.3333,positive
alexa super quality,0.3333,positive
alexa sw better conversational upgrade cant link youtube mobil reason need one click equivalent skills,0.5,positive
alexa take much time try connect wifi bluetooth device,0.0375,positive
alexa u never ever feel alone interact alexa tons things like listen music news weather forecast many alexa hindi many good funny responses kind become routine talk alexa sound quality will say star sound quality amaze fill room easily,0.4958,positive
alexa unable identify songs place time get negative response unavailability request seem waste product melooking replacement device seem access limit resourcesound alexa need improvisation,-0.1143,negative
alexa upgrade time time,0,neutral
alexa useful schedule listen newsbut concern speaker low sound eg not hearable another,0.1975,positive
alexa user interface nice get information one voice command music options less interface youtube songs ganna app etc,0.2944,positive
alexa voice assistant will never understand command say dont ever buy reason promote amazon google home well look well perform task jeff bezos turd review applicable alexa devices,0,neutral
alexa voice awsm really feel awsm talk alexagrt purchase if wnybody want buy smart speaker go blindly choose grt one,-0.0286,negative
alexa voice not work,0,neutral
alexa voice recognition pretty good well integrate devices sound quality also good easy use,0.3931,positive
alexa voice recognition quality good sound quality good excellent product amazon,0.7525,positive
alexa wonderful ausome sound quality great music time kind funny u use hindi language great fun,0.5929,positive
alexa wonderful concept but could see limitations couldnt recognize instructions play songs doesnt play old tamil songs,0.55,positive
alexa work fine good product google home moni,0.5583,positive
alexa work good give information right way,0.4929,positive
alexa work properly,0,neutral
alexa worst product if say alexa mosquito repellent start say find referencecom etc waste money,-0.7,negative
alexabest eperience ever,0,neutral
alexas sound doesnt good play netflix prime otherwise good,0.6,positive
alexq gen smart speaker goodthere slight delay recognize voiceotherwise good product thank amazonhoped will fix future update,0.1695,positive
alk three voice recognition alexa integration sound quality areexcellent,0.4,positive
alla average performance,-0.15,negative
almost goodbut cant connect iphone hotspot alexawhysolution pleasethank amazonits apps show generation,0,neutral
almost month no issue till date good connectivity smart devices,0.4571,positive
already become part family,0,neutral
already google assisatant voice recognition shouldnt much deal alexa need plug conected wifi network function alexa if no wifi act bluetooth speaker sound qualitu pretty good alexa alexa isnt much fun think,0.2875,positive
already oneand order another dealreally great product,0.8,positive
always connectivity issue customer care people not able help,-0.25,negative
always like items home,0,neutral
always need wire begin one must connect android phone,0,neutral
always say invalid password connect android samsung devices however work ios devices share screenshot amazon team but barely reply highly disappoint,-0.35,negative
always will connect issue,0,neutral
amaze,0.6,positive
amaze,0.6,positive
amaze,0.78,positive
amaze,0.6,positive
amaze,0.6,positive
amaze,0.6,positive
amaze,0.6,positive
amaze addition smart gadget,0.4071,positive
amaze alexa,0.6,positive
amaze alexa,0.6,positive
amaze awesome ai speaker alexa mind blow voice recognition good speak quality thank amazon,0.6775,positive
amaze cant tell nice use since year love,0.6,positive
amaze device,0.6,positive
amaze device worth every penny gen version masterpiece,0.45,positive
amaze feature round performance good stuff bring amazon,0.275,positive
amaze feel day use will review days,0.2,positive
amaze gift wife,0.6,positive
amaze if look something budget satisfy requirements speaker along proper voice integration recognition go blindly,0.0333,positive
amaze interest goodi like,0.4625,positive
amaze love quality sound experience thankyou amazon,0.5667,positive
amaze mom fell love thisbut could improve music service could add like youtube music spotify etc,0.5333,positive
amaze performance,0.6,positive
amaze piece equipment,0.6,positive
amaze pretty useful,0.3833,positive
amaze product,0.6,positive
amaze product,0.6,positive
amaze product,0.6,positive
amaze product,0.6,positive
amaze product,0.6,positive
amaze product,0.6,positive
amaze product,0.6,positive
amaze product alexa eco dotit will realy connect homesit excelent product coustmers,0.6,positive
amaze product alexa understand almost command mom also able operate use hindi version,0.55,positive
amaze product alexa will follow command say,0.78,positive
amaze product amaze feature apart sound really good good kid well simply paisa wusool,0.535,positive
amaze product amazon coustomer support goodif problem solve imidiatly,0.4,positive
amaze product amazon good person house,0.65,positive
amaze product amazon thank much must buy,0.4,positive
amaze product amazonbluetooth connectivitysound quality everything best,0.8,positive
amaze product cheap n work like awesome maestro must buy product grow kidbetter give alexa not phone,0.7067,positive
amaze product convenient must device if want lead smart hassle free life strongly recommend thank amazon,0.4079,positive
amaze product daughter want alexa happy m rat use months fabulous product m speechless must guy helpful funny entertain math solver funny game joke horror stories normal stories easy setup different languages volume good low high etc must buy thnx amazon geourgeous product,0.3791,positive
amaze product especially integration google calendar tons skills play around though hop will better software update butits bang product price buy wipro bulb echo dot together return wipro bulb get back get alexa truely bang smart assistant bluetooth speaker,0.3092,positive
amaze product essy use must buy,0.6,positive
amaze product get festival sale value money,0.6,positive
amaze product get one smart bulb,0.4071,positive
amaze product go but one con if buy play songs plzz dont sound quality not great but good but dont worry connect speakers sub woofer alexa via aux bluetooth last thing wan na say amaze even play game alexa like kbc wheel fun many thankyou read review,0.4889,positive
amaze product good package get deliver time,0.65,positive
amaze product good sound quality clarity easy configure use,0.5333,positive
amaze product great price thank u amazon deal,0.4667,positive
amaze product like friend need knowledgeable perfect sound quality take bite time connect smart devices owners delight,0.4179,positive
amaze product like member family,0.6,positive
amaze product lot alexa enable products market will make alexa experience amaze sound quality superb normal size room,0.5417,positive
amaze product love,0.55,positive
amaze product love product drawback work plug,0.325,positive
amaze product multipurpose use,0.6,positive
amaze product never miss opportunity impress fun happy time echo,0.5667,positive
amaze product nice clear voice,0.4333,positive
amaze product price tag buy prime day deal get already echo device bigger one two parent inlaws super happy excite anyone look gift something nice near one get,0.351,positive
amaze product thankyou amazon,0.6,positive
amaze product voice recognition good play exactly need,0.5167,positive
amaze product will love,0.55,positive
amaze product work amazingly could control lead light voice command,0.5,positive
amaze product work like charm love experience if kid home gon na treat watch speak alexaspeaker quality adequate std size room bass effective good buy,0.4306,positive
amaze sound clarity work flawlesslyjust go itgot great deal syska lead smart wifi bulba mindblowing deal,0.5036,positive
amaze sound quality speaker size great voice recognitiondidnt expect good bass,0.3917,positive
amaze sound quality voice recognition go guy u wont regret,0.5,positive
amaze sound small speaker easy connectivity,0.2958,positive
amaze think,0.6,positive
amaze use smart bulbs automation utilities but term play music lack punch audio quality price,0.2298,positive
amaze value money,0.6,positive
amaze voice recognize product good sound quality,0.5667,positive
amazingbut little bite discrepancies ie sound not sharp clear difficult pair sony bravia smart tv,0.0149,positive
amazingfull pesa vasool sound quality best voice recognition clear bestwow,0.51,positive
amazingi love product,0.5,positive
amazinng,0,neutral
amazon alexa best,1,positive
amazon alexa echo dot best product easy use amaze good sound quality light weight handle,0.5048,positive
amazon alexa good choice,0.7,positive
amazon alexa useful product smart home work smart assistant,0.2729,positive
amazon become synonymous excellent quality buy great indian sale echo dot generation mind blow super voice recognition amaze response usual product quality delivery amazon excellent,0.5806,positive
amazon echo dot gen best term hardware amaze sound quality proper balance base mids treble yes configure alexa app if youd likenext build quality really good feel firm bluetooth wifi connectivity awesome best part connect phone laptop use external speakerthe downside alexa need lot improvement term knowledge basic things carry pretty well like reminders alarm music etc however come answer question fail timetip keep add skills alexa app improvement,0.2633,positive
amazon echo dot gen work expect extent think not buy next gen video,-0.05,negative
amazon echo dot genexcellent voice qualitygood product use,0,neutral
amazon echo dot good product able understand voice command sound quality goodbought amazon salewas actually look blue tooth speaker sale come upand saw dot salepaid work fine far con work plug power outlet no battery backup,0.2617,positive
amazon echo dot truly great product true smartness job extremely well impressive sound quality portable device easy handle completely satisfy,0.4798,positive
amazon eco dot worth buy coz plug anywhere want easy use download alexa app connect device app also good sound quality,0.4583,positive
amazon please replace product,0,neutral
amazon prime membership not give suggest time order,0,neutral
amazon prime recharge compulsory one years,0,neutral
amazon prime subscription instant good result command if best buy,0.5667,positive
amazon product always good,0.7,positive
amazon product bro will always good,0.7,positive
amazon products worst term software one doesnt understand word time even if will play random music instead one ask,-0.3333,negative
amazon think customers foolsno proper customer service,0,neutral
amazon update devices enable use open wi fi hor spot otherwise may need dedicate wifi router always available mobile phone if go down alexa go down stick network let use open wifi,0.0178,positive
amezing product,0,neutral
amezon acho dot products good,0.7,positive
amozons amaze product love,0.65,positive
amzon give combo offer echo dot smart bulbfor but amazon cancel echo andthet send wipro smart bulbfor rsbalance rs will credit work days dont know worst sell concept sell product,-0.1429,negative
another great product amazon kid enjoy lot itlots skills fun,0.5,positive
answer not find device,0,neutral
anybody try use echo dot external speaker tv,0,neutral
anytime companion,0,neutral
app buggy non responsive make harder integrate echo dot isnt responsive efficient also voice recognition answer sometimes not mark,-0.1,negative
app integration make less user interactions,-0.1667,negative
app not available play store use qatar u say use qatar but,-0.2,negative
arrive bundle wipro smart bulb doesnt connect voice recognition worse claim hear another roomits myth even doesnt hear m away although alexa play music amazon prime music unless specify spotify apple music,-0.0619,negative
arrive fast good condition sound clear compare mobile speakersthe alexa app google play bugsi reinstall alexa app change wake word usefulhelps save timeonly concern privacynote even mute button not stop recordingonly way turn off switch safeguard privacy important conversations not use,0.3483,positive
artificial intelligence awesome recognise almost everything english hindi language,0.1333,positive
audio,0,neutral
audio not clear,-0.05,negative
audio put alexa super but bluetooth poor audio,-0.0933,negative
audio quality good enough much fun interact,0.3333,positive
audio quality really nice compare size speaker mostly use listen classic songssongs play incorrectly time unless alexa not give specific keywords song check googleconnecting home devices like light tv switch off doesnt make sense pairall speaker not upto expectations google way way better,0.3238,positive
ausome good,0.7,positive
automatically switch off moment,0,neutral
aux give back side not work,0,neutral
average,-0.15,negative
average,-0.15,negative
average,-0.15,negative
average,-0.15,negative
average product not good expect,-0.2,negative
average proformbut good,0.275,positive
await finally recieved super excite,0.3021,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome,1,positive
awesome alexa echo dot excite open dream come true awesome experience sound quality n voice recognition good love u alexa,0.5809,positive
awesome bass sound quality,0.4167,positive
awesome but one thing miss google skill due time say dont know case search something difficult thing otherwise feature great,0.1929,positive
awesome buy amazon sale along wifi smart bulb worth,0.5048,positive
awesome deal everyone must buy,1,positive
awesome device,1,positive
awesome device amaze sound great bluetooth connectivity thank lot amazon voice recommendedhare krishna,0.65,positive
awesome device but miss inbuilt battery,0.4,positive
awesome device but need improvement,1,positive
awesome device but not local information provide useful songs control smart devices,0.4029,positive
awesome device must purchase,1,positive
awesome experience hat off amazon,1,positive
awesome friend helper love,0.85,positive
awesome get new friend,0.5682,positive
awesome go,1,positive
awesome innovative product amazon recommend everyone one home,0.75,positive
awesome instrument house alexa friend year old son,0.55,positive
awesome intelligent product,0.9,positive
awesome kid njoy listen songs alexa,1,positive
awesome love alexa,0.75,positive
awesome music quality good if dont prime membership set gaana default music service alexa app listen music without ads,0.955,positive
awesome must buyworth money,1,positive
awesome one become family member really helpful kid love,0.5667,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product,1,positive
awesome product alexa,1,positive
awesome product alexa echo generation,1,positive
awesome product amazon,1,positive
awesome product amazon,1,positive
awesome product amazon alexa friend kid,1,positive
awesome product amozon,1,positive
awesome product better expectation,0.75,positive
awesome product buy itif find good blurtooth speaker voice controler buy product,0.5667,positive
awesome product cool feature ai love,0.6167,positive
awesome product easy handle good quality sound,0.6858,positive
awesome product go,1,positive
awesome product good quality,0.955,positive
awesome product quality good,0.85,positive
awesome product say,1,positive
awesome product sound quality good,0.77,positive
awesome product sound quality good work bluetooth speaker,0.77,positive
awesome product sound quality nice alexa definitely entertain us love product,0.6,positive
awesome product thank amazon,0.6,positive
awesome productalexa understand everything,1,positive
awesome producti like itgood buy,0.8,positive
awesome productinteraction quality s great work like bluetooth speaker wifi not available but not make disappointmentbut overall impressive product,0.52,positive
awesome productmy kid much like lean new things,0.4655,positive
awesome products help everything,1,positive
awesome productsound quality excellentvoice recognition also goodif look good smart speaker go itthe thing need good internet connection thats,0.469,positive
awesome productsound quality good,0.85,positive
awesome quality voice fast integration,0.6,positive
awesome response everything,1,positive
awesome smart speaker,0.6071,positive
awesome sound carity simple use like childs,0.5,positive
awesome sound quality,0.7,positive
awesome sound quality,0.7,positive
awesome sound quality get great deal price sale,0.7333,positive
awesome sound quality good product,0.7,positive
awesome sound quality however limit ai database responses limit worth buy if look limit interactions,0.2405,positive
awesome useless depend use pros conspros like come jio saavn hungama music gaanabut not multi tasker likeif command play song vol will reply sorry dont know no song name songs name vol but love,0.26,positive
awesome worthyyou wont get bass like woofer but yoh wont regret take awesome voice recognition,0.5875,positive
awesomesound,0,neutral
awesomethere many things device make wonder cheapi get smart bulb device rsnow control bluetooth speaker tvfirestick bedroom light voice commandsthis fun years old kid alexa tell stories himthe voice recognition good proof even kid command alexa recognise,0.404,positive
awesum,0,neutral
awsm product love feel great someone obey command,0.65,positive
awsm sound awsm clarityevrythng awsm thisno one cn beat,0.4,positive
awsome,0,neutral
awsome device gift friend alexa inbuilt support voice everything totaly cool price,0.425,positive
awsome easy use nice love alexa,0.5544,positive
awsome love package good easy connect bulb life easy,0.6317,positive
baby like alexa much buy itshe enjoy,0.38,positive
bad,-0.7,negative
bad,-0.7,negative
bad baf,-0.25,negative
bad can not connect internet always bore product waana send back u,-0.5667,negative
bad damage product receive cant able connect customer service,-0.205,negative
bad device always play wrong song spotify really mess head,-0.4033,negative
bad didnt ply odia lovable song want dont buy product google home mini smart generation good,0.1786,positive
bad experience,-0.7,negative
bad not good,-0.63,negative
bad product,-0.7,negative
bad product doesnt listen command,-0.91,negative
bad product mostly elexa not understand commanduseless software,-0.205,negative
bad product not work properly,-0.455,negative
bad product worst product buy life worst dont youtube music itamazon spotify cant play good music youtube,-0.5525,negative
bad productits not portable,-0.91,negative
bad produt amazon,-0.91,negative
bad quality alexa product like local speaker sound product light alsobad experience product,-0.0275,negative
bad quality old send also make chaina,-0.39,negative
bad quality product supply highly disappoint time doesnt work poor connectivity also sound quality bad blurr bad quality products supply amazon,-0.3612,negative
bad sound quality,-0.255,negative
bad sound quality not adequate bass sound clarity poor,-0.1378,negative
bad speakers music quality terrible spy amazon supply behaviour voice data gigantic surveillance machine amazon,-0.85,negative
badit stop work days want return but dont find option,0,neutral
bakwas,0,neutral
bakwas h ek number ki,0,neutral
bass full sound,0.2,positive
bass good small roomskills also powerfulvoice recognition standardall video,0.1,positive
batary not charge felt give use product not new,-0.0682,negative
battery,0,neutral
battery inbuilt would much better,0.5,positive
battery include hoti best hota,1,positive
battery not avilable will purchase battery,0,neutral
beautiful good sound quality,0.7,positive
beautiful product,0.85,positive
bed quality,0,neutral
begin amaze later im use music news nothing elseits quite handy if want know something quickly,0.3833,positive
begin could not connect phone echo dot put remark onlinereceived help call centrei connect echo dot successfully alexa blue tooth speakerit work fine,0.3889,positive
bejos ki paidayish play well,0,neutral
believe need get better voice recognition accent india people cant say word clearly ai improve,0.3667,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best,1,positive
best ai device amazon,1,positive
best ai device get,1,positive
best ai ever usedsound quality damn cooli order alexa hall bedroom yet listen dont judge big areamost favorite part order mom think waste money talk talk mei order alexa diwali sale receive along smart wifi bulb make interest look buy smart stuff connect alexa,0.3729,positive
best amazon product nice easy use helpful,0.7378,positive
best app,1,positive
best awesome,1,positive
best best price,1,positive
